t,phi_mean,phi_var,phi_max,phi_min,saturation_frac,plastic_frac,crystallized_frac,config_flux_mean,rotation_mean,torsion_rms,coherence_C,exchange_X,dCdX,local_coherence_mean,drive_S,drive_D,drive_F,drive_TH,drive_B,drive_E,drive_IBT,drive_ZBT
1,0.3063570811410187,0.01141267971955704,0.7281419135967828,0.11745497055371748,0.0,0.0302734375,0.038330078125,0.000539713928721176,0.0010842512542638032,0.017411639525195338,0.0055833709075936416,512.2394638587073,0.0,0.9729003618361123,0.12690660185465868,0.08494267357360971,0.00013750027919982727,4.9765431304904466e-05,0.0,0.0055805601606657654,0.005522135004732439,0.012140237972910129
2,0.3088279503045329,0.011587023526893662,0.7297303529964606,0.09358473252487923,0.0,0.031982421875,0.038818359375,0.0010328484363472039,0.002084157338806127,0.023167344200879843,0.005252880601371681,515.7217131962761,-9.490713449390487e-05,0.972184075471976,0.12747545933191862,0.08577998271948523,0.0001408357429309425,4.729545455938773e-05,0.0,0.005707214305382589,0.005542770588718599,0.012042432327396702
3,0.31080895592109026,0.011458489858938967,0.7393074156805429,0.11476301979433841,0.0,0.033935546875,0.032470703125,0.0014998003320177387,0.002994977629906272,0.0281049184310278,0.004793416315572658,519.1514286009029,-0.00013396571773249515,0.9710783056283203,0.12776252760490978,0.08647182608526924,0.0001493321616382113,4.738321256367929e-05,0.0,0.005854471638534437,0.005563135299401427,0.011973205158267525
4,0.3127190942696265,0.011317428300932483,0.7238200333794427,0.10013622788577686,0.0,0.03515625,0.025390625,0.0019442788049364266,0.003841679101482363,0.032154510773076385,0.004420017412424055,521.8562530305779,-0.00013804922014604447,0.9696121914205451,0.1281684380987379,0.08702650765790529,0.00016342362400245322,4.273177700646533e-05,0.0,0.005910831020057336,0.005573874113999641,0.0119043650617566
5,0.3165636644404013,0.011025068272527841,0.7180143307382643,0.09962019050576239,0.0,0.03564453125,0.01904296875,0.002387260699634364,0.004612276472167843,0.03606505821211145,0.003963482947370313,527.7338703142339,-7.767339093738575e-05,0.9678729834830886,0.12864079835512016,0.08756134639549544,0.00018200692466668834,3.894842083741144e-05,0.0,0.005932254354293426,0.0055840545703875945,0.011838110773056638
6,0.3190410416672196,0.010903508421647338,0.7093072269473202,0.0909229214144988,0.0,0.036376953125,0.013916015625,0.0027904930333272834,0.005308941439080412,0.03924587078255003,0.0035130645156614543,531.6536612470908,-0.00011490878963296467,0.9658996278690348,0.1296445921837648,0.08863782604331238,0.00020442379639057406,3.458731528904369e-05,0.0,0.006004792996288601,0.005607134211796856,0.011691674703359356
7,0.32292967410590623,0.010954096856329434,0.7227026402631719,0.10680393811516442,0.0,0.037353515625,0.0087890625,0.0031787728716640776,0.005953776709305952,0.04250076860479678,0.0032661450531907502,537.7912868483924,-4.02304536820136e-05,0.9636789792054965,0.13018861135641363,0.0893314916668215,0.00022770167858241137,3.3315909823614575e-05,0.0,0.006075662057778949,0.005624027224252214,0.01160508239991025
8,0.3261971517878639,0.01074281799533476,0.7139991874646732,0.10677293847697347,0.0,0.037841796875,0.0048828125,0.003551045692964517,0.006544308045455922,0.045600173362717746,0.0028303097909660804,543.299281133392,-7.912776224398301e-05,0.9612932513263,0.1310254345389532,0.09042030874965375,0.0002547019793199476,3.548549637637167e-05,0.0,0.006198079838354449,0.005656455935428189,0.011476208701220118
9,0.3284691426223061,0.010935790032115908,0.7172831282473551,0.10439252047826639,0.0,0.0380859375,0.002685546875,0.0038866853206706415,0.007064742883426785,0.04800720319679241,0.002637558176746613,547.1441376702459,-5.0132329352707433e-05,0.9587827601320233,0.13185075976346816,0.0913352025006019,0.00028227161825085465,3.182933132204499e-05,0.0,0.006235866365035375,0.005677196278573288,0.011361880846827314
10,0.3301511852623806,0.010977044985100411,0.7248627909841304,0.10810279702605687,0.0,0.0380859375,0.0009765625,0.004203563285540215,0.007540786421833279,0.05052236559951492,0.0025790492387437617,549.8272494410087,-2.1806373718906574e-05,0.9561329305049514,0.132231355512098,0.09197135993424571,0.00030909385203449133,3.168450887713106e-05,0.0,0.00628933857398198,0.005697167536434434,0.011309435971008721
11,0.33146544707264314,0.010879166427944712,0.7163970761045222,0.11143737263557937,0.0,0.03857421875,0.00048828125,0.00450083926021622,0.007981415498189363,0.05304493914218659,0.002383536232614521,552.275201917615,-7.986797456145224e-05,0.9533772661373174,0.1325215230171733,0.09244233187346657,0.00033835381517656075,3.1567061312772884e-05,0.0,0.006345488738106442,0.005710602024661395,0.011266286682916848
